Date	View_count	View_unique	Clone_count	Clone_unique
2017-02-21	4	2	0	0
2017-02-22	1	1	0	0
2017-02-23	2	2	0	0
2017-02-24	6	2	0	0
2017-02-25	3	3	0	0
2017-02-27	1	1	0	0
2017-03-01	2	1	0	0
2017-03-02	1	1	0	0
2017-03-03	14	4	0	0
2017-03-04	1	1	0	0
2017-03-05	2	1	0	0
2017-03-06	4	3	0	0
2017-03-07	2	2	0	0
2017-03-08	2	1	0	0
2017-03-09	2	2	0	0
2017-03-10	1	1	0	0
2017-03-12	4	4	0	0
2017-03-14	12	3	0	0
2017-03-15	1	1	0	0
2017-03-16	1	1	0	0
2017-03-17	3	3	0	0
2017-03-18	1	1	0	0
2017-03-19	4	2	0	0
2017-03-20	1	1	0	0
2017-03-21	3	1	0	0
2017-03-22	3	2	0	0
2017-03-23	2	1	0	0
2017-03-24	3	2	0	0
2017-03-25	1	1	0	0
2017-03-26	1	1	0	0
2017-03-27	1	1	0	0
2017-03-28	1	1	0	0
2017-03-29	1	1	0	0
2017-03-30	1	1	0	0
2017-03-31	1	1	0	0
2017-04-01	4	2	0	0
2017-04-02	1	1	0	0
2017-04-03	6	4	0	0
2017-04-04	1	1	0	0
2017-04-05	1	1	0	0
2017-04-06	3	3	0	0
2017-04-07	1	1	0	0
2017-04-08	5	4	0	0
2017-04-09	3	2	0	0
2017-04-10	4	3	0	0
2017-04-11	3	3	0	0
2017-04-12	2	1	0	0
2017-04-13	1	1	0	0
2017-04-14	3	3	0	0
2017-04-15	2	1	0	0
2017-04-16	1	1	0	0
2017-04-17	2	2	0	0
2017-04-18	1	1	0	0
2017-04-19	2	2	0	0
2017-04-20	4	4	0	0
2017-04-21	1	1	0	0
2017-04-22	1	1	0	0
2017-04-23	1	1	0	0
2017-04-24	1	1	0	0
2017-04-25	6	5	0	0
2017-04-26	2	2	0	0
2017-04-27	3	3	0	0
2017-04-28	11	3	0	0
2017-04-30	4	2	0	0
2017-05-01	1	1	0	0
2017-05-02	1	1	0	0
2017-05-03	1	1	0	0
2017-05-04	2	2	0	0
2017-05-05	1	1	0	0
2017-05-08	2	2	0	0
2017-05-09	17	5	0	0
2017-05-10	3	1	0	0
2017-05-11	5	5	0	0
2017-05-12	1	1	0	0
2017-05-15	7	5	1	1
2017-05-16	1	1	0	0
2017-05-18	6	5	0	0
2017-05-19	2	1	0	0
2017-05-20	1	1	0	0
2017-05-21	3	1	0	0
2017-05-22	8	6	0	0
2017-05-23	4	3	0	0
2017-05-24	1	1	0	0
2017-05-25	5	4	0	0
2017-05-27	2	2	0	0
2017-05-30	6	3	0	0
2017-05-31	1	1	0	0
2017-06-01	7	4	0	0
2017-06-02	1	1	0	0
2017-06-03	1	1	0	0
2017-06-05	3	1	0	0
2017-06-06	1	1	0	0
2017-06-07	2	2	0	0
2017-06-08	3	3	0	0
2017-06-09	5	3	0	0
2017-06-10	4	4	0	0
2017-06-12	2	2	0	0
2017-06-14	2	2	0	0
2017-06-15	1	1	0	0
2017-06-16	4	1	0	0
2017-06-17	9	7	0	0
2017-06-18	6	5	0	0
2017-06-19	2	2	0	0
2017-06-20	3	2	0	0
2017-06-21	1	1	0	0
2017-06-22	4	2	0	0
2017-06-23	2	2	0	0
2017-06-24	2	2	0	0
2017-06-25	2	1	0	0
2017-06-26	6	3	0	0
2017-06-27	3	3	0	0
2017-06-28	2	2	0	0
2017-06-29	1	1	0	0
2017-06-30	1	1	0	0
2017-07-01	3	1	0	0
2017-07-02	1	1	0	0
2017-07-03	1	1	0	0
2017-07-04	8	3	0	0
2017-07-05	2	2	0	0
2017-07-06	1	1	0	0
2017-07-07	4	4	0	0
2017-07-08	2	2	0	0
2017-07-09	6	4	0	0
2017-07-10	6	4	0	0
2017-07-11	9	8	0	0
2017-07-12	3	3	0	0
2017-07-13	3	2	0	0
2017-07-14	1	1	0	0
2017-07-15	1	1	0	0
2017-07-16	1	1	0	0
2017-07-17	7	6	0	0
2017-07-18	5	3	0	0
2017-07-19	4	4	0	0
2017-07-20	7	5	0	0
2017-07-21	8	7	0	0
2017-07-22	2	2	0	0
2017-07-23	4	3	0	0
2017-07-24	2	2	0	0
2017-07-25	3	2	0	0
2017-07-26	5	5	0	0
2017-07-27	10	4	0	0
2017-07-28	1	1	0	0
2017-07-29	1	1	0	0
2017-07-30	1	1	0	0
2017-07-31	8	6	0	0
2017-08-01	5	4	0	0
2017-08-02	1	1	0	0
2017-08-03	6	4	0	0
2017-08-04	8	4	0	0
2017-08-05	3	3	0	0
2017-08-06	4	3	0	0
2017-08-07	2	2	0	0
2017-08-08	1	1	0	0
2017-08-09	15	4	0	0
2017-08-10	2	1	0	0
2017-08-11	1	1	0	0
2017-08-12	3	2	0	0
2017-08-13	5	4	0	0
2017-08-14	7	6	0	0
2017-08-15	6	4	0	0
2017-08-16	4	3	0	0
2017-08-17	3	3	0	0
2017-08-18	1	1	0	0
2017-08-19	2	2	0	0
2017-08-20	2	2	0	0
2017-08-21	2	2	0	0
2017-08-22	8	7	0	0
2017-08-23	8	2	0	0
2017-08-24	5	4	0	0
2017-08-25	1	1	0	0
2017-08-26	4	3	0	0
2017-08-27	5	2	0	0
2017-08-28	1	1	0	0
2017-08-29	2	2	0	0
2017-08-30	6	5	0	0
2017-08-31	1	1	0	0
2017-09-01	3	3	0	0
2017-09-02	3	2	0	0
2017-09-04	3	3	0	0
2017-09-05	11	4	0	0
2017-09-06	5	4	0	0
2017-09-07	8	8	0	0
2017-09-08	1	1	0	0
2017-09-09	2	2	0	0
2017-09-10	9	4	0	0
2017-09-11	8	5	0	0
2017-09-12	9	5	1	1
2017-09-13	7	6	0	0
2017-09-14	10	7	0	0
2017-09-15	4	4	0	0
2017-09-16	3	2	0	0
2017-09-17	16	4	0	0
2017-09-18	1	1	0	0
2017-09-19	7	6	0	0
2017-09-20	5	5	0	0
2017-09-21	5	3	0	0
