Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-02	6	1	0	0
2018-05-03	1	1	0	0
2018-05-04	1	1	0	0
2018-05-05	1	1	0	0
2018-05-08	1	1	0	0
2018-05-13	0	0	1	1
2018-05-16	1	1	0	0
2018-05-20	3	2	0	0
2018-05-22	1	1	0	0
2018-05-28	0	0	1	1
2018-05-30	1	1	1	1
2018-05-31	1	1	0	0
2018-06-07	1	1	0	0
2018-06-08	10	1	0	0
2018-06-11	1	1	0	0
2018-06-14	2	1	0	0
2018-06-18	0	0	1	1
2018-06-25	4	1	0	0
2018-07-02	1	1	0	0
2018-07-03	2	2	0	0
2018-07-06	1	1	0	0
2018-07-13	2	2	0	0
2018-07-16	6	1	0	0
2018-07-19	0	0	1	1
2018-07-20	0	0	1	1
2018-07-24	3	1	0	0
2018-07-26	1	1	0	0
2018-07-31	12	1	0	0
2018-08-01	5	1	1	1
2018-08-02	1	1	0	0
2018-08-08	7	1	0	0
2018-08-09	1	1	0	0
2018-08-10	2	2	0	0
2018-08-12	9	1	0	0
2018-08-14	1	1	0	0
2018-08-16	1	1	0	0
2018-08-20	1	1	0	0
2018-08-22	1	1	0	0
2018-08-23	2	2	0	0
2018-08-24	1	1	0	0
2018-08-25	6	1	0	0
2018-08-27	4	1	0	0
2018-08-28	2	2	0	0
2018-08-30	1	1	0	0
2018-08-31	3	1	0	0
2018-09-02	1	1	0	0
2018-09-03	0	0	1	1
2018-09-04	1	1	0	0
2018-09-06	1	1	0	0
2018-09-12	1	1	0	0
2018-09-13	6	2	0	0
2018-09-14	0	0	1	1
2018-09-19	3	2	0	0
2018-09-26	1	1	0	0
2018-09-27	1	1	0	0
2018-10-01	1	1	0	0
2018-10-02	4	1	0	0
2018-10-04	8	2	0	0
2018-10-05	2	1	0	0
2018-10-09	2	1	0	0
2018-10-11	3	2	0	0
2018-10-12	1	1	0	0
2018-10-15	2	2	0	0
2018-10-17	0	0	1	1
2018-10-24	2	2	0	0
2018-10-25	4	1	0	0
2018-10-27	2	1	0	0
2018-10-28	2	2	1	1
2018-10-29	3	2	0	0
2018-10-30	2	1	0	0
2018-10-31	2	1	0	0
2018-11-01	2	1	0	0
2018-11-06	0	0	1	1
2018-11-07	1	1	0	0
2018-11-10	2	1	1	1
2018-11-11	11	1	0	0
2018-11-17	0	0	1	1
2018-11-18	1	1	0	0
2018-11-19	1	1	0	0
2018-11-20	2	2	0	0
2018-11-22	2	2	0	0
2018-11-23	1	1	0	0
2018-11-24	1	1	0	0
2018-11-25	2	2	0	0
2018-11-27	1	1	0	0
2018-12-01	0	0	1	1
2018-12-03	1	1	0	0
2018-12-06	1	1	0	0
2018-12-07	16	1	0	0
