Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-05	1	1	1	1
2018-05-09	2	1	0	0
2018-05-10	0	0	1	1
2018-05-24	0	0	0	0
2018-05-25	0	0	0	0
2018-05-26	0	0	0	0
2018-05-27	0	0	0	0
2018-05-28	0	0	0	0
2018-05-29	0	0	0	0
2018-05-30	0	0	0	0
2018-05-31	0	0	0	0
2018-06-01	0	0	0	0
2018-06-02	0	0	0	0
2018-06-05	0	0	0	0
2018-06-06	0	0	0	0
2018-06-07	0	0	0	0
2018-06-08	0	0	0	0
2018-06-11	1	1	0	0
2018-06-25	0	0	0	0
2018-06-26	0	0	0	0
2018-06-27	0	0	0	0
2018-06-28	0	0	0	0
2018-06-29	0	0	0	0
2018-06-30	0	0	0	0
2018-07-01	0	0	0	0
2018-07-02	0	0	0	0
2018-07-03	0	0	0	0
2018-07-05	0	0	0	0
2018-07-06	0	0	0	0
2018-07-07	0	0	0	0
2018-07-08	0	0	0	0
2018-07-09	0	0	0	0
2018-07-10	0	0	0	0
2018-07-11	0	0	0	0
2018-07-12	0	0	0	0
2018-07-13	0	0	0	0
2018-07-15	0	0	0	0
2018-07-16	1	1	0	0
2018-07-24	1	1	0	0
2018-08-07	0	0	0	0
2018-08-08	1	1	0	0
2018-08-20	0	0	0	0
