Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-02	1	1	0	0
2018-05-06	0	0	1	1
2018-05-19	0	0	0	0
2018-05-20	0	0	0	0
2018-05-21	0	0	0	0
2018-05-22	0	0	0	0
2018-05-23	0	0	0	0
2018-05-24	0	0	0	0
2018-05-25	0	0	0	0
2018-05-26	0	0	0	0
2018-05-27	0	0	0	0
2018-05-28	0	0	0	0
2018-05-29	0	0	0	0
2018-05-30	0	0	0	0
2018-05-31	0	0	0	0
2018-06-01	0	0	0	0
2018-06-02	0	0	0	0
2018-06-05	0	0	0	0
2018-06-06	0	0	0	0
2018-06-07	0	0	0	0
2018-06-08	0	0	0	0
2018-06-11	0	0	0	0
2018-06-12	0	0	0	0
2018-06-13	0	0	0	0
2018-06-14	0	0	0	0
2018-06-15	0	0	0	0
2018-06-16	0	0	0	0
2018-06-17	0	0	0	0
2018-06-18	0	0	0	0
2018-06-19	0	0	0	0
2018-06-20	0	0	0	0
2018-06-21	0	0	0	0
2018-06-22	0	0	0	0
2018-06-23	0	0	0	0
2018-06-24	0	0	0	0
2018-06-25	2	1	0	0
2018-07-09	0	0	0	0
2018-07-10	0	0	0	0
2018-07-11	0	0	0	0
2018-07-12	0	0	0	0
2018-07-13	0	0	0	0
2018-07-15	0	0	0	0
2018-07-16	4	1	0	0
2018-07-24	2	1	0	0
2018-08-07	0	0	0	0
2018-08-08	4	2	0	0
2018-08-12	2	1	0	0
2018-08-20	1	1	0	0
2018-08-22	3	1	0	0
2018-08-25	1	1	0	0
2018-09-03	0	0	0	0
2018-09-10	0	0	0	0
2018-09-17	0	0	0	0
2018-09-24	0	0	0	0
2018-09-27	1	1	1	1
2018-10-01	2	1	0	0
2018-10-15	0	0	0	0
2018-10-22	0	0	0	0
2018-10-29	0	0	0	0
2018-11-01	1	1	0	0
2018-11-12	0	0	0	0
2018-11-15	1	1	0	0
2018-11-26	0	0	0	0
2018-12-01	0	0	1	1
2018-12-10	0	0	0	0
2018-12-17	0	0	0	0
2018-12-24	0	0	0	0
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-16	1	1	0	0
2019-01-28	0	0	1	1
2019-02-03	1	1	0	0
