Date	View_count	View_unique	Clone_count	Clone_unique
2019-01-21	0	0	0	0
2019-01-28	0	0	1	1
2019-02-11	0	0	0	0
2019-02-18	0	0	0	0
2019-02-25	0	0	0	0
2019-03-04	0	0	0	0
2019-03-07	1	1	0	0
2019-03-18	0	0	0	0
2019-03-25	0	0	0	0
2019-04-01	0	0	0	0
2019-04-08	0	0	0	0
2019-04-15	0	0	0	0
2019-04-22	0	0	0	0
2019-04-29	0	0	0	0
2019-05-06	0	0	0	0
2019-05-13	0	0	0	0
2019-05-20	0	0	0	0
2019-05-27	0	0	0	0
2019-06-03	0	0	0	0
2019-06-10	0	0	0	0
2019-06-17	0	0	0	0
2019-06-24	0	0	0	0
2019-07-01	0	0	0	0
2019-07-08	0	0	0	0
