Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-14	17	1	1	1
2018-08-15	35	2	0	0
2018-08-16	24	3	1	1
2018-08-17	7	2	0	0
2018-08-20	17	5	2	2
2018-08-22	2	2	1	1
2018-08-23	4	1	0	0
2018-08-24	1	1	0	0
2018-08-26	50	5	8	2
2018-08-27	53	9	7	4
2018-08-28	12	3	3	3
2018-08-29	50	8	8	5
2018-08-30	52	5	18	4
2018-08-31	101	13	31	4
2018-09-01	3	2	0	0
2018-09-02	24	3	6	2
2018-09-03	2	2	0	0
2018-09-04	7	2	2	2
2018-09-05	1	1	0	0
2018-09-10	4	1	0	0
2018-09-11	1	1	0	0
2018-09-13	12	4	2	2
2018-09-14	0	0	2	2
2018-09-15	5	1	2	1
2018-09-17	5	2	3	3
2018-09-18	7	3	0	0
2018-09-19	5	2	0	0
2018-09-20	17	4	0	0
2018-09-21	121	6	30	6
2018-09-23	90	10	62	26
2018-09-24	45	10	10	6
2018-09-25	43	4	6	4
2018-09-26	34	3	36	6
2018-09-27	1	1	0	0
2018-09-28	1	1	0	0
2018-09-30	0	0	2	1
2018-10-01	74	13	10	4
2018-10-02	19	3	8	5
2018-10-03	11	1	1	1
2018-10-04	61	4	16	6
2018-10-05	10	4	2	2
