Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-03	3	1	0	0
2018-05-08	0	0	1	1
2018-05-15	4	1	1	1
2018-05-27	1	1	0	0
2018-05-28	0	0	1	1
2018-06-11	0	0	0	0
2018-06-12	0	0	0	0
2018-06-13	0	0	0	0
2018-06-14	2	1	0	0
2018-06-25	2	1	0	0
2018-07-01	1	1	1	1
2018-07-16	6	1	0	0
2018-07-23	1	1	0	0
2018-07-24	3	1	0	0
2018-07-30	9	1	0	0
2018-08-02	1	1	0	0
2018-08-03	6	4	0	0
2018-08-08	7	1	0	0
2018-08-12	11	1	2	2
2018-08-20	1	1	0	0
2018-08-21	0	0	1	1
2018-08-22	7	1	0	0
2018-08-29	4	1	0	0
2018-09-06	2	1	0	0
2018-09-12	1	1	0	0
2018-09-13	1	1	0	0
2018-09-14	0	0	1	1
2018-09-27	1	1	0	0
2018-10-06	0	0	1	1
2018-10-12	2	2	0	0
2018-10-22	0	0	0	0
2018-10-24	2	1	0	0
2018-10-25	2	1	0	0
2018-10-26	0	0	1	1
2018-11-03	0	0	1	1
2018-11-06	3	1	1	1
2018-11-12	1	1	0	0
2018-11-15	1	1	0	0
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-10	0	0	0	0
2018-12-11	1	1	0	0
2018-12-15	1	1	0	0
2018-12-20	1	1	0	0
2018-12-22	1	1	0	0
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-17	0	0	1	1
2019-01-28	0	0	1	1
2019-02-02	2	1	0	0
2019-02-18	0	0	0	0
2019-02-25	0	0	0	0
2019-02-26	1	1	0	0
2019-03-11	0	0	0	0
2019-03-18	0	0	0	0
2019-03-25	0	0	0	0
2019-04-01	0	0	1	1
2019-04-08	0	0	1	1
2019-04-12	1	1	0	0
2019-04-18	0	0	1	1
2019-04-24	1	1	0	0
2019-05-06	0	0	0	0
2019-05-13	0	0	0	0
2019-05-16	1	1	0	0
2019-05-20	0	0	1	1
2019-06-02	0	0	1	1
2019-06-10	0	0	0	0
2019-06-17	0	0	0	0
2019-06-23	1	1	0	0
2019-07-01	0	0	0	0
2019-07-05	0	0	1	1
2019-07-08	0	0	0	0
