Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-20	0	0	0	0
2018-08-27	0	0	0	0
2018-08-28	0	0	0	0
2018-09-03	0	0	0	0
2018-09-10	0	0	0	0
2018-09-17	0	0	0	0
2018-09-23	0	0	1	1
2018-10-01	0	0	0	0
2018-10-08	0	0	0	0
2018-10-15	0	0	0	0
2018-10-22	0	0	0	0
2018-10-25	1	1	0	0
2018-11-05	0	0	0	0
2018-11-12	0	0	0	0
2018-11-19	0	0	0	0
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-10	0	0	0	0
2018-12-17	0	0	0	0
2018-12-24	0	0	0	0
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-21	0	0	0	0
2019-01-28	0	0	1	1
2019-02-04	0	0	0	0
