Date	View_count	View_unique	Clone_count	Clone_unique
2018-11-14	10	1	0	0
2018-11-22	47	2	3	3
2018-11-23	8	1	0	0
2018-11-30	9	2	0	0
2018-12-01	1	1	0	0
2018-12-02	0	0	1	1
2018-12-05	1	1	0	0
2018-12-06	6	1	0	0
2018-12-08	0	0	2	2
2018-12-19	0	0	1	1
2018-12-30	14	1	0	0
2019-01-03	3	1	0	0
2019-01-06	2	1	0	0
2019-01-14	4	1	0	0
2019-01-16	10	1	0	0
2019-01-17	2	1	1	1
2019-01-18	1	1	0	0
2019-01-28	0	0	1	1
2019-02-02	1	1	0	0
2019-02-03	1	1	0	0
2019-02-15	1	1	0	0
2019-02-21	1	1	0	0
2019-02-22	7	1	0	0
2019-03-04	0	0	0	0
2019-03-11	0	0	0	0
2019-03-18	0	0	0	0
2019-03-19	1	1	0	0
2019-03-23	1	1	0	0
2019-04-01	0	0	0	0
2019-04-04	3	1	0	0
2019-04-11	3	1	0	0
2019-04-22	0	0	0	0
2019-04-29	0	0	0	0
2019-04-30	10	1	0	0
2019-05-05	4	2	0	0
2019-05-06	0	0	0	0
