Date	View_count	View_unique	Clone_count	Clone_unique
2018-06-25	29	1	0	0
2018-07-02	1	1	0	0
2018-07-15	0	0	0	0
2018-07-16	3	1	0	0
2018-07-28	0	0	0	0
2018-07-30	0	0	0	0
2018-07-31	0	0	0	0
2018-08-01	0	0	0	0
2018-08-02	0	0	0	0
2018-08-03	0	0	0	0
2018-08-05	0	0	0	0
2018-08-06	0	0	0	0
2018-08-07	0	0	0	0
2018-08-08	0	0	0	0
2018-08-09	0	0	0	0
2018-08-10	0	0	0	0
2018-08-16	0	0	0	0
2018-08-17	0	0	0	0
2018-08-18	0	0	0	0
2018-08-19	0	0	0	0
2018-08-20	1	1	0	0
2018-09-03	0	0	0	0
2018-09-10	0	0	0	0
2018-09-17	0	0	0	0
2018-09-24	0	0	0	0
2018-10-01	0	0	0	0
2018-10-08	0	0	0	0
2018-10-15	0	0	0	0
2018-10-17	4	1	0	0
2018-10-21	0	0	2	2
2018-11-05	0	0	0	0
2018-11-12	0	0	0	0
2018-11-19	0	0	0	0
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-10	0	0	0	0
2018-12-15	1	1	0	0
2018-12-24	0	0	0	0
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-20	0	0	1	1
2019-01-28	2	1	1	1
2019-02-18	0	0	0	0
2019-02-25	0	0	0	0
2019-03-04	0	0	0	0
2019-03-11	0	0	0	0
2019-03-18	0	0	0	0
2019-03-25	0	0	0	0
2019-03-31	1	1	1	1
2019-04-01	0	0	1	1
2019-04-15	0	0	0	0
2019-04-18	0	0	1	1
2019-04-29	0	0	0	0
2019-05-06	0	0	0	0
2019-05-13	0	0	0	0
2019-05-20	0	0	0	0
