Date	View_count	View_unique	Clone_count	Clone_unique
2018-07-10	3	2	0	0
2018-07-13	0	0	1	1
2018-07-16	2	1	0	0
2018-07-24	1	1	0	0
2018-08-07	0	0	0	0
2018-08-08	7	1	1	1
2018-08-14	4	1	0	0
2018-08-20	1	1	0	0
2018-09-03	2	1	1	1
2018-09-09	1	1	0	0
2018-09-17	0	0	0	0
2018-09-19	1	1	0	0
2018-09-24	0	0	2	2
2018-09-26	2	1	0	0
2018-09-27	1	1	0	0
2018-10-15	0	0	0	0
2018-10-22	0	0	0	0
2018-10-29	0	0	0	0
2018-11-05	0	0	0	0
2018-11-12	0	0	0	0
2018-11-16	0	0	1	1
2018-11-17	0	0	1	1
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-10	0	0	0	0
2018-12-14	8	2	1	1
2018-12-15	1	1	0	0
2018-12-16	0	0	1	1
2018-12-19	2	1	1	1
2018-12-22	0	0	1	1
2019-01-07	0	0	0	0
2019-01-10	0	0	1	1
2019-01-17	1	1	1	1
2019-01-28	0	0	1	1
2019-02-11	0	0	0	0
2019-02-18	0	0	0	0
2019-02-25	0	0	0	0
2019-03-04	0	0	0	0
2019-03-11	0	0	0	0
2019-03-18	0	0	0	0
2019-03-25	0	0	0	0
2019-04-01	0	0	1	1
2019-04-08	0	0	0	0
2019-04-11	2	1	0	0
2019-04-18	0	0	1	1
2019-04-21	0	0	1	1
2019-04-24	0	0	1	1
2019-04-30	1	1	0	0
2019-05-06	0	0	1	1
2019-05-10	0	0	1	1
2019-05-12	3	1	0	0
2019-05-16	2	1	0	0
