Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-03	0	0	1	1
2018-05-16	0	0	1	1
2018-05-29	0	0	0	0
2018-05-30	0	0	0	0
2018-05-31	0	0	0	0
2018-06-01	0	0	0	0
2018-06-02	0	0	0	0
2018-06-05	0	0	0	0
2018-06-06	0	0	0	0
2018-06-07	0	0	0	0
2018-06-08	0	0	0	0
2018-06-11	0	0	0	0
2018-06-12	0	0	0	0
2018-06-13	0	0	0	0
2018-06-14	0	0	0	0
2018-06-15	0	0	0	0
2018-06-16	0	0	0	0
2018-06-17	0	0	0	0
2018-06-18	0	0	0	0
2018-06-19	0	0	0	0
2018-06-20	0	0	0	0
2018-06-21	0	0	0	0
2018-06-22	0	0	0	0
2018-06-23	0	0	0	0
2018-06-24	0	0	0	0
2018-06-25	0	0	0	0
2018-06-26	0	0	0	0
2018-06-27	0	0	0	0
2018-06-28	0	0	0	0
2018-06-29	0	0	0	0
2018-06-30	0	0	0	0
2018-07-01	0	0	0	0
2018-07-02	0	0	0	0
2018-07-03	0	0	0	0
2018-07-05	0	0	0	0
2018-07-06	0	0	0	0
2018-07-07	0	0	0	0
2018-07-08	0	0	0	0
2018-07-09	0	0	0	0
2018-07-10	0	0	0	0
2018-07-11	0	0	0	0
2018-07-12	0	0	0	0
2018-07-13	0	0	0	0
2018-07-15	0	0	0	0
2018-07-16	3	1	0	0
2018-07-17	1	1	0	0
2018-07-19	0	0	1	1
2018-07-24	2	1	0	0
2018-08-03	7	1	0	0
2018-08-05	2	1	0	0
2018-08-06	1	1	0	0
2018-08-07	31	5	7	5
2018-08-08	112	12	28	5
2018-08-09	93	11	12	4
2018-08-10	89	13	13	3
2018-08-11	7	4	0	0
2018-08-12	6	2	0	0
2018-08-13	7	1	0	0
2018-08-14	27	2	1	1
2018-08-15	35	2	0	0
2018-08-16	24	3	1	1
2018-08-17	7	2	0	0
2018-08-20	19	5	4	3
2018-08-22	2	2	1	1
2018-08-23	4	1	0	0
2018-08-24	1	1	0	0
2018-08-26	50	5	8	2
2018-08-27	0	0	2	1
