Date	View_count	View_unique	Clone_count	Clone_unique
2018-07-14	2	1	1	1
2018-07-21	0	0	1	1
2018-07-23	1	1	0	0
2018-07-24	1	1	0	0
2018-08-02	0	0	1	1
2018-08-16	0	0	0	0
2018-08-17	0	0	0	0
2018-08-18	0	0	0	0
2018-08-19	0	0	0	0
2018-08-20	1	1	0	0
2018-09-03	0	0	0	0
2018-09-05	2	1	0	0
2018-09-17	0	0	0	0
2018-09-24	0	0	0	0
2018-10-01	0	0	0	0
2018-10-03	14	1	1	1
2018-10-09	1	1	0	0
2018-10-12	1	1	0	0
2018-10-22	0	0	0	0
2018-10-24	0	0	1	1
2018-11-05	0	0	0	0
2018-11-12	0	0	0	0
2018-11-19	0	0	0	0
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-10	0	0	0	0
2018-12-17	0	0	0	0
2018-12-23	0	0	1	1
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-21	0	0	0	0
