Date	View_count	View_unique	Clone_count	Clone_unique
2017-02-21	10	5	0	0
2017-02-22	4	1	0	0
2017-02-23	1	1	0	0
2017-02-24	3	1	0	0
2017-02-25	21	3	0	0
2017-02-28	2	1	0	0
2017-03-01	15	4	0	0
2017-03-02	2	1	0	0
2017-03-03	5	2	1	1
2017-03-04	22	5	0	0
2017-03-05	1	1	0	0
2017-03-06	5	1	0	0
2017-03-07	8	2	0	0
2017-03-08	1	1	0	0
2017-03-09	4	4	0	0
2017-03-10	1	1	0	0
2017-03-12	5	2	0	0
2017-03-13	7	1	0	0
2017-03-14	3	2	0	0
2017-03-16	1	1	0	0
2017-03-17	16	7	0	0
2017-03-19	2	1	0	0
2017-03-20	3	2	0	0
2017-03-21	2	1	0	0
2017-03-22	2	2	0	0
2017-03-23	15	4	1	1
2017-03-24	2	1	0	0
2017-03-25	0	0	1	1
2017-03-26	34	3	0	0
2017-03-27	6	2	0	0
2017-03-28	1	1	0	0
2017-03-29	23	3	0	0
2017-03-30	4	2	0	0
2017-03-31	3	3	0	0
2017-04-01	1	1	0	0
2017-04-03	1	1	0	0
2017-04-04	1	1	0	0
2017-04-05	1	1	0	0
2017-04-06	3	2	0	0
2017-04-07	1	1	1	1
2017-04-11	1	1	1	1
2017-04-12	2	2	0	0
2017-04-13	2	2	0	0
2017-04-14	11	4	0	0
2017-04-15	9	2	0	0
2017-04-17	0	0	1	1
2017-04-18	5	4	0	0
2017-04-19	4	2	0	0
2017-04-20	1	1	0	0
2017-04-21	3	1	0	0
2017-04-22	5	1	0	0
2017-04-24	2	1	0	0
2017-04-25	14	8	0	0
2017-04-26	7	4	0	0
2017-04-27	3	3	0	0
2017-04-28	16	5	0	0
2017-04-29	1	1	0	0
2017-04-30	2	2	0	0
2017-05-01	3	3	0	0
2017-05-02	11	3	0	0
2017-05-03	9	4	0	0
2017-05-04	4	4	0	0
2017-05-05	8	1	0	0
2017-05-06	10	5	0	0
2017-05-07	7	6	0	0
2017-05-08	6	4	0	0
2017-05-09	4	3	0	0
2017-05-10	1	1	0	0
2017-05-11	5	3	0	0
2017-05-12	18	6	0	0
2017-05-13	2	1	0	0
2017-05-14	5	3	0	0
2017-05-15	13	3	1	1
2017-05-16	20	4	0	0
2017-05-17	17	5	0	0
2017-05-18	24	6	0	0
2017-05-19	9	5	0	0
2017-05-20	10	2	0	0
2017-05-21	2	2	0	0
2017-05-22	2	2	0	0
2017-05-23	1	1	0	0
2017-05-24	2	1	0	0
2017-05-25	19	5	0	0
2017-05-26	2	1	0	0
2017-05-27	1	1	0	0
2017-05-28	3	2	0	0
2017-05-30	1	1	0	0
2017-05-31	27	6	0	0
2017-06-01	18	5	0	0
2017-06-02	4	3	1	1
2017-06-05	9	3	0	0
2017-06-06	5	4	0	0
2017-06-07	3	3	0	0
2017-06-08	3	1	0	0
2017-06-09	2	1	0	0
2017-06-10	1	1	0	0
2017-06-11	5	1	0	0
2017-06-12	2	2	0	0
2017-06-13	2	1	0	0
2017-06-14	3	2	0	0
2017-06-15	12	4	0	0
2017-06-16	5	1	0	0
2017-06-17	7	2	0	0
2017-06-18	7	2	0	0
2017-06-19	1	1	0	0
2017-06-20	5	2	0	0
2017-06-21	2	2	0	0
2017-06-22	2	2	0	0
2017-06-23	26	6	0	0
2017-06-25	2	1	0	0
2017-06-26	1	1	0	0
2017-06-27	7	1	0	0
2017-06-28	9	4	1	1
2017-06-29	4	2	0	0
2017-06-30	5	3	0	0
2017-07-01	5	2	0	0
2017-07-03	1	1	0	0
2017-07-04	1	1	0	0
2017-07-05	1	1	0	0
2017-07-06	2	2	0	0
2017-07-07	5	4	0	0
2017-07-09	1	1	0	0
2017-07-10	6	2	0	0
2017-07-11	7	2	0	0
2017-07-12	5	3	0	0
2017-07-13	2	1	0	0
2017-07-14	1	1	0	0
2017-07-16	3	1	0	0
2017-07-17	1	1	0	0
2017-07-18	5	3	0	0
2017-07-19	9	3	0	0
2017-07-20	3	2	0	0
2017-07-24	12	2	0	0
2017-07-25	10	6	0	0
2017-07-26	7	3	0	0
2017-07-27	2	2	0	0
2017-07-28	4	2	0	0
2017-07-29	3	1	0	0
2017-07-31	2	2	0	0
2017-08-01	15	2	0	0
2017-08-02	3	2	0	0
2017-08-03	8	4	0	0
2017-08-04	1	1	0	0
2017-08-05	1	1	0	0
2017-08-06	12	3	0	0
2017-08-07	1	1	0	0
2017-08-08	3	2	0	0
2017-08-09	5	4	0	0
2017-08-10	1	1	0	0
2017-08-11	7	2	0	0
2017-08-13	1	1	0	0
2017-08-14	3	3	0	0
2017-08-15	12	6	1	1
2017-08-16	4	2	0	0
2017-08-17	14	8	0	0
2017-08-18	7	4	0	0
2017-08-19	10	2	0	0
2017-08-21	16	5	0	0
2017-08-25	6	1	0	0
2017-08-26	2	1	0	0
