Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-20	1	1	1	1
2018-09-05	6	2	0	0
2018-09-17	0	0	0	0
2018-09-24	0	0	0	0
2018-10-01	0	0	0	0
2018-10-08	0	0	0	0
2018-10-09	9	1	1	1
2018-10-10	5	1	0	0
2018-10-22	0	0	1	1
2018-10-23	4	1	0	0
2018-10-24	1	1	0	0
2018-10-25	27	1	0	0
2018-11-08	0	0	1	1
2018-11-14	0	0	1	1
2018-11-19	0	0	1	1
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-10	0	0	0	0
2018-12-17	0	0	0	0
2018-12-24	0	0	0	0
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-21	0	0	0	0
2019-01-28	0	0	0	0
