Date	View_count	View_unique	Clone_count	Clone_unique
2017-02-20	4	1	10	1
2017-02-21	15	1	0	0
2017-02-22	35	2	11	3
2017-02-23	15	2	5	2
2017-02-24	1	1	0	0
2017-02-26	0	0	1	1
2017-02-27	1	1	0	0
2017-03-02	4	1	0	0
2017-03-03	1	1	0	0
2017-03-04	28	9	0	0
2017-03-05	4	1	0	0
2017-03-06	16	1	0	0
2017-03-07	0	0	2	2
2017-03-08	3	1	4	2
2017-03-09	20	3	0	0
2017-03-10	14	1	1	1
2017-03-11	32	2	0	0
2017-03-12	7	2	0	0
2017-03-14	6	2	0	0
2017-03-15	2	1	0	0
2017-03-16	4	1	0	0
2017-03-17	17	3	0	0
2017-03-18	5	1	0	0
2017-03-19	11	3	0	0
2017-03-20	9	1	0	0
2017-03-21	17	4	0	0
2017-03-22	20	4	0	0
2017-03-23	5	1	0	0
2017-03-24	23	4	0	0
2017-03-25	13	2	0	0
2017-03-27	17	3	0	0
2017-03-28	1	1	0	0
