Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-15	0	0	0	0
2018-05-16	0	0	0	0
2018-05-17	0	0	0	0
2018-05-19	0	0	0	0
2018-05-20	0	0	0	0
2018-05-21	0	0	0	0
2018-05-22	0	0	0	0
2018-05-23	0	0	0	0
2018-05-24	0	0	0	0
2018-05-25	0	0	0	0
2018-05-26	0	0	0	0
2018-05-27	0	0	0	0
2018-05-28	21	2	0	0
2018-06-01	30	7	0	0
2018-06-03	2	2	0	0
2018-06-05	38	1	0	0
2018-06-06	1	1	0	0
2018-06-07	0	0	1	1
2018-06-11	2	1	0	0
2018-06-17	3	1	0	0
2018-06-21	3	2	0	0
2018-07-03	0	0	0	0
2018-07-05	0	0	0	0
2018-07-06	0	0	0	0
2018-07-07	0	0	0	0
2018-07-08	0	0	0	0
2018-07-09	0	0	0	0
2018-07-10	0	0	0	0
2018-07-11	0	0	0	0
2018-07-12	0	0	0	0
2018-07-13	0	0	0	0
2018-07-15	0	0	0	0
2018-07-16	0	0	0	0
2018-07-17	0	0	1	1
2018-07-24	1	1	0	0
2018-07-31	2	1	0	0
2018-08-08	7	1	0	0
2018-08-12	1	1	0	0
2018-08-13	2	1	0	0
2018-08-14	1	1	0	0
2018-08-16	1	1	0	0
2018-08-20	0	0	1	1
2018-08-22	10	1	0	0
2018-08-26	1	1	0	0
2018-08-28	0	0	1	1
2018-09-01	0	0	1	1
2018-09-07	2	1	0	0
2018-09-11	4	1	0	0
2018-09-12	4	1	0	0
2018-09-13	1	1	0	0
2018-09-16	1	1	0	0
2018-09-24	0	0	0	0
2018-09-28	5	1	0	0
2018-10-08	0	0	0	0
2018-10-15	0	0	0	0
2018-10-22	0	0	0	0
2018-10-29	0	0	0	0
2018-10-31	11	1	0	0
2018-11-12	0	0	0	0
2018-11-17	0	0	1	1
2018-11-26	0	0	0	0
2018-12-03	0	0	0	0
2018-12-05	1	1	0	0
2018-12-07	0	0	1	1
2018-12-20	1	1	0	0
2018-12-24	1	1	0	0
2018-12-31	0	0	0	0
