Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-02	0	0	1	1
2018-05-16	0	0	0	0
2018-05-17	0	0	0	0
2018-05-19	1	1	0	0
2018-06-02	0	0	0	0
2018-06-05	0	0	0	0
2018-06-06	0	0	0	0
2018-06-07	0	0	0	0
2018-06-08	0	0	0	0
2018-06-11	0	0	0	0
2018-06-12	0	0	0	0
2018-06-13	0	0	0	0
2018-06-14	0	0	0	0
2018-06-15	0	0	0	0
2018-06-16	0	0	0	0
2018-06-17	0	0	0	0
2018-06-18	13	1	0	0
2018-06-25	2	1	0	0
2018-06-29	0	0	1	1
2018-07-01	1	1	1	1
2018-07-16	5	1	0	0
2018-07-24	2	1	0	0
2018-08-07	0	0	0	0
2018-08-08	9	1	1	1
2018-08-10	0	0	1	1
2018-08-20	1	1	0	0
2018-08-23	1	1	0	0
2018-08-27	0	0	0	0
