Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-08	9	1	0	0
2018-08-16	1	1	0	0
2018-08-19	3	1	0	0
2018-08-20	83	3	11	5
2018-08-21	1	1	0	0
2018-08-22	0	0	1	1
2018-08-27	0	0	1	1
2018-08-28	12	1	3	3
2018-09-02	3	2	0	0
2018-09-03	0	0	1	1
2018-09-05	9	1	0	0
2018-09-10	0	0	1	1
2018-09-13	1	1	0	0
2018-09-14	1	1	1	1
2018-09-17	0	0	1	1
2018-09-23	0	0	3	2
2018-09-24	0	0	1	1
2018-09-27	1	1	0	0
2018-09-29	1	1	0	0
2018-10-01	1	1	0	0
2018-10-04	6	1	0	0
2018-10-08	1	1	0	0
2018-10-15	0	0	1	1
2018-10-16	1	1	0	0
2018-10-22	0	0	1	1
2018-10-29	0	0	1	1
2018-11-05	0	0	1	1
2018-11-06	0	0	1	1
2018-11-10	3	1	0	0
2018-11-12	0	0	1	1
2018-11-19	0	0	1	1
2018-11-23	4	1	0	0
2018-11-26	0	0	1	1
2018-11-28	3	2	0	0
2018-12-01	0	0	1	1
2018-12-03	0	0	1	1
2018-12-04	0	0	1	1
2018-12-10	0	0	1	1
2018-12-17	0	0	0	0
