Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-07	0	0	1	1
2018-08-08	7	1	0	0
2018-08-20	3	3	0	0
2018-08-21	3	2	1	1
2018-08-24	1	1	0	0
2018-09-10	0	0	0	0
2018-09-17	0	0	0	0
2018-09-24	0	0	0	0
2018-09-27	1	1	0	0
2018-10-08	0	0	0	0
2018-10-15	0	0	0	0
2018-10-18	1	1	0	0
2018-10-22	0	0	1	1
2018-11-05	0	0	0	0
2018-11-06	0	0	1	1
2018-11-10	6	1	0	0
2018-11-11	5	1	1	1
2018-11-13	2	1	0	0
2018-11-22	1	1	0	0
2018-11-26	0	0	1	1
2018-12-10	0	0	0	0
2018-12-17	0	0	0	0
2018-12-19	0	0	1	1
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-17	1	1	1	1
2019-01-28	0	0	1	1
2019-02-11	0	0	0	0
2019-02-18	0	0	0	0
2019-02-25	0	0	0	0
2019-02-26	0	0	1	1
2019-03-11	0	0	0	0
2019-03-18	0	0	0	0
2019-03-25	0	0	0	0
2019-03-31	0	0	1	1
2019-04-08	0	0	0	0
2019-04-15	0	0	0	0
2019-04-18	0	0	1	1
2019-04-29	0	0	0	0
